concept,games,credits,credits_n,credits_confidence,licence,licence_confidence,licence_source,identical_art,distinct_art,images,category,mods,minetest_game,mineclonia,mineclone2,asuna
diamond,4,"celeron55, Perttu Ahola; Cisoun; G4JC; VanessaE; RealBadAngel; Calinou; MirceaKitsune; Jordach; PilzAdam; jojoa1997; InfinityProject; Splizard",24,mod,CC BY-SA 3.0 / CC BY 3.0 / CC0 / public domain | CC BY-SA 4.0 / CC BY 4.0 / CC BY 3.0 / CC0 / MIT / LGPL-2.1 / LGPL / GPL-3.0 | CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,ambiguous,LEGAL.md | mods/ENTITIES/mobs_mc/LICENSE-media.md | mods/default/license.txt,no,3,5,"entity,item,other","default,mcl_core,mobs_mc",default_diamond,"default_diamond,mobs_mc_diamond",default_diamond,default_diamond
dirt,4,"celeron55, Perttu Ahola; Cisoun; G4JC; VanessaE; RealBadAngel; Calinou; MirceaKitsune; Jordach; PilzAdam; jojoa1997; InfinityProject; Splizard",12,mod,CC BY-SA 3.0 / CC BY 3.0 / CC0 / public domain | CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC BY 3.0 / CC0 | CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,ambiguous,LEGAL.md | mods/default/license.txt | mods/everness/LICENSE.txt,no,3,5,"item,other","default,everness,mcl_core",default_dirt,default_dirt,default_dirt,"default_dirt,everness_dirt"
dry_shrub,4,"celeron55, Perttu Ahola; Cisoun; G4JC; VanessaE; RealBadAngel; Calinou; MirceaKitsune; Jordach; PilzAdam; jojoa1997; InfinityProject; Splizard",12,mod,CC BY-SA 3.0 / CC BY 3.0 / CC0 / public domain | CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0 | CC BY-SA 4.0 / CC BY-SA 3.0 / CC0 / MIT,ambiguous,LEGAL.md | mods/default/license.txt | mods/ethereal/license.txt,no,3,5,"item,other","default,ethereal,mcl_core",default_dry_shrub,default_dry_shrub,default_dry_shrub,"default_dry_shrub,ethereal_dry_shrub"
glass,4,"celeron55, Perttu Ahola; Cisoun; G4JC; VanessaE; RealBadAngel; Calinou; MirceaKitsune; Jordach; PilzAdam; jojoa1997; InfinityProject; Splizard",12,mod,CC BY-SA 3.0 / CC BY 3.0 / CC0 / public domain | CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC BY 3.0 / CC0 | CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,ambiguous,LEGAL.md | mods/default/license.txt | mods/everness/LICENSE.txt,no,3,5,"item,other","default,everness,mcl_core",default_glass,default_glass,default_glass,"default_glass,everness_glass"
glass_detail,4,"celeron55, Perttu Ahola; Cisoun; G4JC; VanessaE; RealBadAngel; Calinou; MirceaKitsune; Jordach; PilzAdam; jojoa1997; InfinityProject; Splizard",12,mod,CC BY-SA 3.0 / CC BY 3.0 / CC0 / public domain | CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC BY 3.0 / CC0 | CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,ambiguous,LEGAL.md | mods/default/license.txt | mods/everness/LICENSE.txt,no,3,5,"item,other","default,everness,mcl_core",default_glass_detail,default_glass_detail,default_glass_detail,"default_glass_detail,everness_glass_detail"
gravel,4,"celeron55, Perttu Ahola; Cisoun; G4JC; VanessaE; RealBadAngel; Calinou; MirceaKitsune; Jordach; PilzAdam; jojoa1997; InfinityProject; Splizard",12,mod,CC BY-SA 3.0 / CC BY 3.0 / CC0 / public domain | CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC BY 3.0 / CC0 | CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,ambiguous,LEGAL.md | mods/default/license.txt | mods/everness/LICENSE.txt,no,3,5,"item,other","default,everness,mcl_core",default_gravel,default_gravel,default_gravel,"default_gravel,everness_gravel"
heart,4,"celeron55, Perttu Ahola; Cisoun; G4JC; VanessaE; RealBadAngel; Calinou; MirceaKitsune; Jordach; PilzAdam; jojoa1997; InfinityProject; Splizard",12,mod,CC BY-SA 3.0 / CC BY 3.0 / CC0 / public domain | CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,ambiguous,LEGAL.md | mods/default/license.txt | mods/minetest_game/default/license.txt,no,3,5,"hud,item,other","default,mcl_base_textures,mcl_pottery_sherds",heart,"heart,mcl_pottery_sherds_heart",heart,heart
ice,4,"celeron55, Perttu Ahola; Cisoun; G4JC; VanessaE; RealBadAngel; Calinou; MirceaKitsune; Jordach; PilzAdam; jojoa1997; InfinityProject; Splizard",12,mod,CC BY-SA 3.0 / CC BY 3.0 / CC0 / public domain | CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC BY 3.0 / CC0 / MIT | CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,ambiguous,LEGAL.md | mods/default/license.txt | mods/minetest_game/default/license.txt,no,3,5,"item,other","default,mcl_core,x_farming",default_ice,default_ice,default_ice,"default_ice,x_farming_ice"
jungleleaves,4,"celeron55, Perttu Ahola; Cisoun; G4JC; VanessaE; RealBadAngel; Calinou; MirceaKitsune; Jordach; PilzAdam; jojoa1997; InfinityProject; Splizard",12,mod,CC BY-SA 3.0 / CC BY 3.0 / CC0 / public domain | CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC BY 3.0 / CC0 / MIT | CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,ambiguous,LEGAL.md | mods/default/license.txt | mods/minetest_game/default/license.txt,no,3,5,"item,other","default,mcl_core,x_farming",default_jungleleaves,default_jungleleaves,default_jungleleaves,"default_jungleleaves,x_farming_jungleleaves"
junglesapling,4,"celeron55, Perttu Ahola; Cisoun; G4JC; VanessaE; RealBadAngel; Calinou; MirceaKitsune; Jordach; PilzAdam; jojoa1997; InfinityProject; Splizard",12,mod,CC BY-SA 3.0 / CC BY 3.0 / CC0 / public domain | CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC BY 3.0 / CC0 / MIT | CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,ambiguous,LEGAL.md | mods/default/license.txt | mods/minetest_game/default/license.txt,no,3,5,"item,other","default,mcl_core,x_farming",default_junglesapling,default_junglesapling,default_junglesapling,"default_junglesapling,x_farming_junglesapling"
acacia_leaves,4,"celeron55, Perttu Ahola; Cisoun; G4JC; VanessaE; RealBadAngel; Calinou; MirceaKitsune; Jordach; PilzAdam; jojoa1997; InfinityProject; Splizard",12,mod,CC BY-SA 3.0 / CC BY 3.0 / CC0 / public domain | CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,ambiguous,LEGAL.md | mods/default/license.txt | mods/minetest_game/default/license.txt,no,2,4,"item,other","default,mcl_core",default_acacia_leaves,default_acacia_leaves,default_acacia_leaves,default_acacia_leaves
acacia_sapling,4,"celeron55, Perttu Ahola; Cisoun; G4JC; VanessaE; RealBadAngel; Calinou; MirceaKitsune; Jordach; PilzAdam; jojoa1997; InfinityProject; Splizard",12,mod,CC BY-SA 3.0 / CC BY 3.0 / CC0 / public domain | CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,ambiguous,LEGAL.md | mods/default/license.txt | mods/minetest_game/default/license.txt,no,2,4,"item,other","default,mcl_core",default_acacia_sapling,default_acacia_sapling,default_acacia_sapling,default_acacia_sapling
acacia_tree,4,"celeron55, Perttu Ahola; Cisoun; G4JC; VanessaE; RealBadAngel; Calinou; MirceaKitsune; Jordach; PilzAdam; jojoa1997; InfinityProject; Splizard",12,mod,CC BY-SA 3.0 / CC BY 3.0 / CC0 / public domain | CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,ambiguous,LEGAL.md | mods/default/license.txt | mods/minetest_game/default/license.txt,no,2,4,"item,other","default,mcl_core",default_acacia_tree,default_acacia_tree,default_acacia_tree,default_acacia_tree
acacia_tree_top,4,"celeron55, Perttu Ahola; Cisoun; G4JC; VanessaE; RealBadAngel; Calinou; MirceaKitsune; Jordach; PilzAdam; jojoa1997; InfinityProject; Splizard",12,mod,CC BY-SA 3.0 / CC BY 3.0 / CC0 / public domain | CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,ambiguous,LEGAL.md | mods/default/license.txt | mods/minetest_game/default/license.txt,no,2,4,"item,other","default,mcl_core",default_acacia_tree_top,default_acacia_tree_top,default_acacia_tree_top,default_acacia_tree_top
acacia_wood,4,"celeron55, Perttu Ahola; Cisoun; G4JC; VanessaE; RealBadAngel; Calinou; MirceaKitsune; Jordach; PilzAdam; jojoa1997; InfinityProject; Splizard",12,mod,CC BY-SA 3.0 / CC BY 3.0 / CC0 / public domain | CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,ambiguous,LEGAL.md | mods/default/license.txt | mods/minetest_game/default/license.txt,no,2,4,"item,other","default,mcl_core",default_acacia_wood,default_acacia_wood,default_acacia_wood,default_acacia_wood
apple,4,"celeron55, Perttu Ahola; Cisoun; G4JC; VanessaE; RealBadAngel; Calinou; MirceaKitsune; Jordach; PilzAdam; jojoa1997; InfinityProject; Splizard",12,mod,CC BY-SA 3.0 / CC BY 3.0 / CC0 / public domain | CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,ambiguous,LEGAL.md | mods/default/license.txt | mods/minetest_game/default/license.txt,no,2,4,"item,other","default,mcl_core",default_apple,default_apple,default_apple,default_apple
book,4,"celeron55, Perttu Ahola; Cisoun; G4JC; VanessaE; RealBadAngel; Calinou; MirceaKitsune; Jordach; PilzAdam; jojoa1997; InfinityProject; Splizard",12,mod,CC BY-SA 3.0 / CC BY 3.0 / CC0 / public domain | CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,ambiguous,LEGAL.md | mods/default/license.txt | mods/minetest_game/default/license.txt,no,2,4,"item,other","default,mcl_books",default_book,default_book,default_book,default_book
bookshelf,4,"celeron55, Perttu Ahola; Cisoun; G4JC; VanessaE; RealBadAngel; Calinou; MirceaKitsune; Jordach; PilzAdam; jojoa1997; InfinityProject; Splizard",12,mod,CC BY-SA 3.0 / CC BY 3.0 / CC0 / public domain | CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,ambiguous,LEGAL.md | mods/default/license.txt | mods/minetest_game/default/license.txt,no,2,4,"item,other","default,mcl_books",default_bookshelf,default_bookshelf,default_bookshelf,default_bookshelf
character,4,,0,game,CC BY-SA 3.0 | CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,mod,LEGAL.md | mods/minetest_game/player_api/license.txt | mods/player_api/license.txt,no,3,4,"other,player","mcl_player,player_api",character,character,character,character
clay,4,"celeron55, Perttu Ahola; Cisoun; G4JC; VanessaE; RealBadAngel; Calinou; MirceaKitsune; Jordach; PilzAdam; jojoa1997; InfinityProject; Splizard",12,mod,CC BY-SA 3.0 / CC BY 3.0 / CC0 / public domain | CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,ambiguous,LEGAL.md | mods/default/license.txt | mods/minetest_game/default/license.txt,no,2,4,"item,other","default,mcl_core",default_clay,default_clay,default_clay,default_clay
clay_brick,4,"celeron55, Perttu Ahola; Cisoun; G4JC; VanessaE; RealBadAngel; Calinou; MirceaKitsune; Jordach; PilzAdam; jojoa1997; InfinityProject; Splizard",12,mod,CC BY-SA 3.0 / CC BY 3.0 / CC0 / public domain | CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,ambiguous,LEGAL.md | mods/default/license.txt | mods/minetest_game/default/license.txt,no,2,4,"item,other","default,mcl_core",default_clay_brick,default_clay_brick,default_clay_brick,default_clay_brick
clay_lump,4,"celeron55, Perttu Ahola; Cisoun; G4JC; VanessaE; RealBadAngel; Calinou; MirceaKitsune; Jordach; PilzAdam; jojoa1997; InfinityProject; Splizard",12,mod,CC BY-SA 3.0 / CC BY 3.0 / CC0 / public domain | CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,ambiguous,LEGAL.md | mods/default/license.txt | mods/minetest_game/default/license.txt,no,2,4,"item,other","default,mcl_core",default_clay_lump,default_clay_lump,default_clay_lump,default_clay_lump
coal_block,4,"celeron55, Perttu Ahola; Cisoun; G4JC; VanessaE; RealBadAngel; Calinou; MirceaKitsune; Jordach; PilzAdam; jojoa1997; InfinityProject; Splizard",12,mod,CC BY-SA 3.0 / CC BY 3.0 / CC0 / public domain | CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,ambiguous,LEGAL.md | mods/default/license.txt | mods/minetest_game/default/license.txt,no,2,4,"item,other","default,mcl_core",default_coal_block,default_coal_block,default_coal_block,default_coal_block
coal_lump,4,"celeron55, Perttu Ahola; Cisoun; G4JC; VanessaE; RealBadAngel; Calinou; MirceaKitsune; Jordach; PilzAdam; jojoa1997; InfinityProject; Splizard",12,mod,CC BY-SA 3.0 / CC BY 3.0 / CC0 / public domain | CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,ambiguous,LEGAL.md | mods/default/license.txt | mods/minetest_game/default/license.txt,no,2,4,"item,other","default,mcl_core",default_coal_lump,default_coal_lump,default_coal_lump,default_coal_lump
cobble,4,"celeron55, Perttu Ahola; Cisoun; G4JC; VanessaE; RealBadAngel; Calinou; MirceaKitsune; Jordach; PilzAdam; jojoa1997; InfinityProject; Splizard",12,mod,CC BY-SA 3.0 / CC BY 3.0 / CC0 / public domain | CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,ambiguous,LEGAL.md | mods/default/license.txt | mods/minetest_game/default/license.txt,no,3,4,"item,other","default,mcl_core",default_cobble,default_cobble,default_cobble,default_cobble
crack_anylength,4,"celeron55, Perttu Ahola; Cisoun; G4JC; VanessaE; RealBadAngel; Calinou; MirceaKitsune; Jordach; PilzAdam; jojoa1997; InfinityProject; Splizard",12,mod,CC BY-SA 3.0 / CC BY 3.0 / CC0 / public domain | CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,ambiguous,LEGAL.md | mods/default/license.txt | mods/minetest_game/default/license.txt,no,2,4,"hud,other","default,mcl_base_textures",crack_anylength,crack_anylength,crack_anylength,crack_anylength
craftguide_clear_icon,4,,0,game,CC BY-SA 3.0 | CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,mod,LEGAL.md | mods/HELP/mcl_craftguide/license.txt | mods/minetest_game/mtg_craftguide/license.txt,no,2,4,"help,other","mcl_craftguide,mtg_craftguide",craftguide_clear_icon,craftguide_clear_icon,craftguide_clear_icon,craftguide_clear_icon
craftguide_furnace,4,,0,game,CC BY-SA 3.0 | CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,mod,LEGAL.md | mods/HELP/mcl_craftguide/license.txt | mods/minetest_game/mtg_craftguide/license.txt,no,2,4,"help,other","mcl_craftguide,mtg_craftguide",craftguide_furnace,craftguide_furnace,craftguide_furnace,craftguide_furnace
craftguide_next_icon,4,,0,game,CC BY-SA 3.0 | CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,mod,LEGAL.md | mods/HELP/mcl_craftguide/license.txt | mods/minetest_game/mtg_craftguide/license.txt,no,2,4,"help,other","mcl_craftguide,mtg_craftguide",craftguide_next_icon,craftguide_next_icon,craftguide_next_icon,craftguide_next_icon
craftguide_prev_icon,4,,0,game,CC BY-SA 3.0 | CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,mod,LEGAL.md | mods/HELP/mcl_craftguide/license.txt | mods/minetest_game/mtg_craftguide/license.txt,no,2,4,"help,other","mcl_craftguide,mtg_craftguide",craftguide_prev_icon,craftguide_prev_icon,craftguide_prev_icon,craftguide_prev_icon
craftguide_search_icon,4,,0,game,CC BY-SA 3.0 | CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,mod,LEGAL.md | mods/HELP/mcl_craftguide/license.txt | mods/minetest_game/mtg_craftguide/license.txt,no,2,4,"help,other","mcl_craftguide,mtg_craftguide",craftguide_search_icon,craftguide_search_icon,craftguide_search_icon,craftguide_search_icon
craftguide_shapeless,4,,0,game,CC BY-SA 3.0 | CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,mod,LEGAL.md | mods/HELP/mcl_craftguide/license.txt | mods/minetest_game/mtg_craftguide/license.txt,no,2,4,"help,other","mcl_craftguide,mtg_craftguide",craftguide_shapeless,craftguide_shapeless,craftguide_shapeless,craftguide_shapeless
diamond_block,4,"celeron55, Perttu Ahola; Cisoun; G4JC; VanessaE; RealBadAngel; Calinou; MirceaKitsune; Jordach; PilzAdam; jojoa1997; InfinityProject; Splizard",12,mod,CC BY-SA 3.0 / CC BY 3.0 / CC0 / public domain | CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,ambiguous,LEGAL.md | mods/default/license.txt | mods/minetest_game/default/license.txt,no,2,4,"item,other","default,mcl_core",default_diamond_block,default_diamond_block,default_diamond_block,default_diamond_block
flint,4,"celeron55, Perttu Ahola; Cisoun; G4JC; VanessaE; RealBadAngel; Calinou; MirceaKitsune; Jordach; PilzAdam; jojoa1997; InfinityProject; Splizard",12,mod,CC BY-SA 3.0 / CC BY 3.0 / CC0 / public domain | CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,ambiguous,LEGAL.md | mods/default/license.txt | mods/minetest_game/default/license.txt,no,2,4,"item,other","default,mcl_core",default_flint,default_flint,default_flint,default_flint
furnace_bottom,4,"celeron55, Perttu Ahola; Cisoun; G4JC; VanessaE; RealBadAngel; Calinou; MirceaKitsune; Jordach; PilzAdam; jojoa1997; InfinityProject; Splizard",12,mod,CC BY-SA 3.0 / CC BY 3.0 / CC0 / public domain | CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,ambiguous,LEGAL.md | mods/default/license.txt | mods/minetest_game/default/license.txt,no,2,4,"item,other","default,mcl_furnaces",default_furnace_bottom,default_furnace_bottom,default_furnace_bottom,default_furnace_bottom
furnace_fire_bg,4,"celeron55, Perttu Ahola; Cisoun; G4JC; VanessaE; RealBadAngel; Calinou; MirceaKitsune; Jordach; PilzAdam; jojoa1997; InfinityProject; Splizard",12,mod,CC BY-SA 3.0 / CC BY 3.0 / CC0 / public domain | CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,ambiguous,LEGAL.md | mods/default/license.txt | mods/minetest_game/default/license.txt,no,2,4,"item,other","default,mcl_furnaces",default_furnace_fire_bg,default_furnace_fire_bg,default_furnace_fire_bg,default_furnace_fire_bg
furnace_fire_fg,4,"celeron55, Perttu Ahola; Cisoun; G4JC; VanessaE; RealBadAngel; Calinou; MirceaKitsune; Jordach; PilzAdam; jojoa1997; InfinityProject; Splizard",12,mod,CC BY-SA 3.0 / CC BY 3.0 / CC0 / public domain | CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,ambiguous,LEGAL.md | mods/default/license.txt | mods/minetest_game/default/license.txt,no,2,4,"item,other","default,mcl_furnaces",default_furnace_fire_fg,default_furnace_fire_fg,default_furnace_fire_fg,default_furnace_fire_fg
furnace_front,4,"celeron55, Perttu Ahola; Cisoun; G4JC; VanessaE; RealBadAngel; Calinou; MirceaKitsune; Jordach; PilzAdam; jojoa1997; InfinityProject; Splizard",12,mod,CC BY-SA 3.0 / CC BY 3.0 / CC0 / public domain | CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,ambiguous,LEGAL.md | mods/default/license.txt | mods/minetest_game/default/license.txt,no,2,4,"item,other","default,mcl_furnaces",default_furnace_front,default_furnace_front,default_furnace_front,default_furnace_front
furnace_front_active,4,"celeron55, Perttu Ahola; Cisoun; G4JC; VanessaE; RealBadAngel; Calinou; MirceaKitsune; Jordach; PilzAdam; jojoa1997; InfinityProject; Splizard",12,mod,CC BY-SA 3.0 / CC BY 3.0 / CC0 / public domain | CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,ambiguous,LEGAL.md | mods/default/license.txt | mods/minetest_game/default/license.txt,no,2,4,"item,other","default,mcl_furnaces",default_furnace_front_active,default_furnace_front_active,default_furnace_front_active,default_furnace_front_active
furnace_side,4,"celeron55, Perttu Ahola; Cisoun; G4JC; VanessaE; RealBadAngel; Calinou; MirceaKitsune; Jordach; PilzAdam; jojoa1997; InfinityProject; Splizard",12,mod,CC BY-SA 3.0 / CC BY 3.0 / CC0 / public domain | CC BY-SA 4.0 / CC BY-SA 3.0 / CC BY 4.0 / CC0,ambiguous,LEGAL.md | mods/default/license.txt | mods/minetest_game/default/license.txt,no,2,4,"item,other","default,mcl_furnaces",default_furnace_side,default_furnace_side,default_furnace_side,default_furnace_side
